Treatment_Function,Replicate_Num,Step_Num,X_Location,Y_Location,Score,Last_Move,Rewards_rem
play_greedily,1,1,4,4,895,L,25
play_greedily,1,2,3,4,985,F,24
play_greedily,1,3,3,4,980,L,24
play_greedily,1,4,3,5,1020,F,23
play_greedily,1,5,3,6,1060,F,22
play_greedily,1,6,3,7,1150,F,21
play_greedily,1,7,3,7,1145,R,21
play_greedily,1,8,3,7,1140,R,21
play_greedily,1,9,3,6,1130,F,21
play_greedily,1,10,3,6,1125,R,21
play_greedily,1,11,4,6,1215,F,20
play_greedily,1,12,5,6,1255,F,19
play_greedily,1,13,5,6,1250,L,19
play_greedily,1,14,5,5,1290,F,18
play_greedily,1,15,5,4,1280,F,18
play_greedily,1,16,5,3,1320,F,17
play_greedily,1,17,5,3,1315,R,17
play_greedily,1,18,6,3,1355,F,16
play_greedily,1,19,7,3,1395,F,15
play_greedily,1,20,8,3,1485,F,14
play_greedily,1,21,8,3,1480,L,14
play_greedily,1,22,8,2,1470,F,14
play_greedily,1,23,8,1,1460,F,14
play_greedily,1,24,8,1,1455,L,14
play_greedily,1,25,7,1,1495,F,13
play_greedily,1,26,7,1,1490,R,13
play_greedily,1,27,7,0,1530,F,12
play_greedily,1,28,7,0,1525,R,12
play_greedily,1,29,7,0,1520,R,12
play_greedily,1,30,7,1,1510,F,12
play_greedily,1,31,7,1,1505,R,12
play_greedily,1,32,6,1,1495,F,12
play_greedily,1,33,6,1,1490,L,12
play_greedily,1,34,6,2,1530,F,11
play_greedily,1,35,6,3,1520,F,11
play_greedily,1,36,6,4,1510,F,11
play_greedily,1,37,6,5,1500,F,11
play_greedily,1,38,6,5,1495,R,11
play_greedily,1,39,5,5,1485,F,11
play_greedily,1,40,4,5,1475,F,11
play_greedily,1,41,3,5,1465,F,11
play_greedily,1,42,2,5,1505,F,10
play_greedily,1,43,1,5,1545,F,9
play_greedily,1,44,0,5,1535,F,9
play_greedily,1,45,0,5,1530,R,9
play_greedily,1,46,0,5,1525,R,9
play_greedily,1,47,1,5,1515,F,9
play_greedily,1,48,2,5,1505,F,9
play_greedily,1,49,3,5,1495,F,9
play_greedily,1,50,4,5,1485,F,9
play_greedily,1,51,5,5,1475,F,9
play_greedily,1,52,6,5,1465,F,9
play_greedily,1,53,6,5,1460,L,9
play_greedily,1,54,6,4,1450,F,9
play_greedily,1,55,6,3,1440,F,9
play_greedily,1,56,6,2,1430,F,9
play_greedily,1,57,6,1,1420,F,9
play_greedily,1,58,6,0,1410,F,9
play_greedily,1,59,6,0,1405,R,9
play_greedily,1,60,7,0,1395,F,9
play_greedily,1,61,7,0,1390,R,9
play_greedily,1,62,7,1,1380,F,9
play_greedily,1,63,7,1,1375,R,9
play_greedily,1,64,6,1,1365,F,9
play_greedily,1,65,5,1,1355,F,9
play_greedily,1,66,5,1,1350,R,9
play_greedily,1,67,5,1,1345,R,9
play_greedily,1,68,6,1,1335,F,9
play_greedily,1,69,7,1,1325,F,9
play_greedily,1,70,8,1,1315,F,9
play_greedily,1,71,8,1,1310,R,9
play_greedily,1,72,8,2,1300,F,9
play_greedily,1,73,8,3,1290,F,9
play_greedily,1,74,8,4,1280,F,9
play_greedily,1,75,8,5,1270,F,9
play_greedily,1,76,8,6,1260,F,9
play_greedily,1,77,8,6,1255,R,9
play_greedily,1,78,7,6,1295,F,8
play_greedily,1,79,7,6,1290,R,8
play_greedily,1,80,7,6,1285,R,8
play_greedily,1,81,8,6,1275,F,8
play_greedily,1,82,8,6,1270,L,8
play_greedily,1,83,8,5,1260,F,8
play_greedily,1,84,8,4,1250,F,8
play_greedily,1,85,8,3,1240,F,8
play_greedily,1,86,8,2,1230,F,8
play_greedily,1,87,8,1,1220,F,8
play_greedily,1,88,8,1,1215,R,8
play_greedily,1,89,8,1,1210,R,8
play_greedily,1,90,8,2,1200,F,8
play_greedily,1,91,8,3,1190,F,8
play_greedily,1,92,8,4,1180,F,8
play_greedily,1,93,8,5,1170,F,8
play_greedily,1,94,8,6,1160,F,8
play_greedily,1,95,8,6,1155,R,8
play_greedily,1,96,7,6,1145,F,8
play_greedily,1,97,7,6,1140,R,8
play_greedily,1,98,7,6,1135,R,8
play_greedily,1,99,8,6,1125,F,8
play_greedily,1,100,8,6,1120,L,8
play_greedily,2,1,4,4,995,L,26
play_greedily,2,2,3,4,1085,F,25
play_greedily,2,3,3,4,1080,R,25
play_greedily,2,4,3,3,1170,F,24
play_greedily,2,5,3,2,1210,F,23
play_greedily,2,6,3,1,1300,F,22
play_greedily,2,7,3,0,1340,F,21
play_greedily,2,8,3,0,1335,L,21
play_greedily,2,9,2,0,1375,F,20
play_greedily,2,10,1,0,1365,F,20
play_greedily,2,11,0,0,1405,F,19
play_greedily,2,12,0,0,1400,R,19
play_greedily,2,13,0,0,1395,R,19
play_greedily,2,14,1,0,1385,F,19
play_greedily,2,15,2,0,1375,F,19
play_greedily,2,16,3,0,1365,F,19
play_greedily,2,17,4,0,1355,F,19
play_greedily,2,18,5,0,1345,F,19
play_greedily,2,19,6,0,1335,F,19
play_greedily,2,20,6,0,1330,R,19
play_greedily,2,21,6,1,1420,F,18
play_greedily,2,22,6,1,1415,L,18
play_greedily,2,23,7,1,1505,F,17
play_greedily,2,24,7,1,1500,R,17
play_greedily,2,25,7,2,1490,F,17
play_greedily,2,26,7,2,1485,L,17
play_greedily,2,27,8,2,1575,F,16
play_greedily,2,28,8,2,1570,R,16
play_greedily,2,29,8,2,1565,R,16
play_greedily,2,30,7,2,1555,F,16
play_greedily,2,31,7,2,1550,L,16
play_greedily,2,32,7,3,1590,F,15
play_greedily,2,33,7,3,1585,R,15
play_greedily,2,34,6,3,1625,F,14
play_greedily,2,35,5,3,1615,F,14
play_greedily,2,36,5,3,1610,L,14
play_greedily,2,37,5,4,1650,F,13
play_greedily,2,38,5,5,1690,F,12
play_greedily,2,39,5,6,1680,F,12
play_greedily,2,40,5,7,1770,F,11
play_greedily,2,41,5,8,1810,F,10
play_greedily,2,42,5,8,1805,R,10
play_greedily,2,43,4,8,1795,F,10
play_greedily,2,44,4,8,1790,R,10
play_greedily,2,45,4,7,1780,F,10
play_greedily,2,46,4,7,1775,L,10
play_greedily,2,47,3,7,1865,F,9
play_greedily,2,48,2,7,1855,F,9
play_greedily,2,49,2,7,1850,R,9
play_greedily,2,50,2,6,1890,F,8
play_greedily,2,51,2,5,1930,F,7
play_greedily,2,52,2,4,1920,F,7
play_greedily,2,53,2,3,1910,F,7
play_greedily,2,54,2,2,1950,F,6
play_greedily,2,55,2,1,1940,F,6
play_greedily,2,56,2,0,1930,F,6
play_greedily,2,57,2,0,1925,R,6
play_greedily,2,58,3,0,1915,F,6
play_greedily,2,59,4,0,1905,F,6
play_greedily,2,60,5,0,1895,F,6
play_greedily,2,61,6,0,1885,F,6
play_greedily,2,62,6,0,1880,R,6
play_greedily,2,63,6,1,1870,F,6
play_greedily,2,64,6,2,1860,F,6
play_greedily,2,65,6,3,1850,F,6
play_greedily,2,66,6,3,1845,R,6
play_greedily,2,67,5,3,1835,F,6
play_greedily,2,68,5,3,1830,R,6
play_greedily,2,69,5,2,1820,F,6
play_greedily,2,70,5,1,1810,F,6
play_greedily,2,71,5,0,1800,F,6
play_greedily,2,72,5,0,1795,R,6
play_greedily,2,73,6,0,1785,F,6
play_greedily,2,74,6,0,1780,R,6
play_greedily,2,75,6,1,1770,F,6
play_greedily,2,76,6,2,1760,F,6
play_greedily,2,77,6,3,1750,F,6
play_greedily,2,78,6,3,1745,R,6
play_greedily,2,79,5,3,1735,F,6
play_greedily,2,80,5,3,1730,R,6
play_greedily,2,81,5,2,1720,F,6
play_greedily,2,82,5,1,1710,F,6
play_greedily,2,83,5,0,1700,F,6
play_greedily,2,84,5,0,1695,R,6
play_greedily,2,85,6,0,1685,F,6
play_greedily,2,86,6,0,1680,R,6
play_greedily,2,87,6,1,1670,F,6
play_greedily,2,88,6,2,1660,F,6
play_greedily,2,89,6,3,1650,F,6
play_greedily,2,90,6,3,1645,R,6
play_greedily,2,91,5,3,1635,F,6
play_greedily,2,92,5,3,1630,R,6
play_greedily,2,93,5,2,1620,F,6
play_greedily,2,94,5,1,1610,F,6
play_greedily,2,95,5,0,1600,F,6
play_greedily,2,96,5,0,1595,R,6
play_greedily,2,97,6,0,1585,F,6
play_greedily,2,98,6,0,1580,R,6
play_greedily,2,99,6,1,1570,F,6
play_greedily,2,100,6,2,1560,F,6
play_greedily,3,1,4,3,1040,F,20
play_greedily,3,2,4,3,1035,R,20
play_greedily,3,3,5,3,1075,F,19
play_greedily,3,4,5,3,1070,L,19
play_greedily,3,5,5,2,1110,F,18
play_greedily,3,6,5,1,1100,F,18
play_greedily,3,7,5,1,1095,L,18
play_greedily,3,8,4,1,1185,F,17
play_greedily,3,9,4,1,1180,R,17
play_greedily,3,10,4,0,1170,F,17
play_greedily,3,11,4,0,1165,R,17
play_greedily,3,12,4,0,1160,R,17
play_greedily,3,13,4,1,1150,F,17
play_greedily,3,14,4,2,1140,F,17
play_greedily,3,15,4,2,1135,R,17
play_greedily,3,16,3,2,1175,F,16
play_greedily,3,17,2,2,1215,F,15
play_greedily,3,18,1,2,1205,F,15
play_greedily,3,19,0,2,1195,F,15
play_greedily,3,20,0,2,1190,R,15
play_greedily,3,21,0,1,1180,F,15
play_greedily,3,22,0,1,1175,R,15
play_greedily,3,23,0,1,1170,R,15
play_greedily,3,24,0,2,1160,F,15
play_greedily,3,25,0,3,1150,F,15
play_greedily,3,26,0,4,1140,F,15
play_greedily,3,27,0,5,1230,F,14
play_greedily,3,28,0,5,1225,R,14
play_greedily,3,29,0,5,1220,R,14
play_greedily,3,30,0,4,1210,F,14
play_greedily,3,31,0,4,1205,R,14
play_greedily,3,32,1,4,1245,F,13
play_greedily,3,33,2,4,1235,F,13
play_greedily,3,34,2,4,1230,R,13
play_greedily,3,35,2,5,1320,F,12
play_greedily,3,36,2,6,1410,F,11
play_greedily,3,37,2,6,1405,R,11
play_greedily,3,38,1,6,1495,F,10
play_greedily,3,39,1,6,1490,L,10
play_greedily,3,40,1,7,1580,F,9
play_greedily,3,41,1,8,1570,F,9
play_greedily,3,42,1,8,1565,R,9
play_greedily,3,43,0,8,1555,F,9
play_greedily,3,44,0,8,1550,R,9
play_greedily,3,45,0,7,1540,F,9
play_greedily,3,46,0,7,1535,R,9
play_greedily,3,47,1,7,1525,F,9
play_greedily,3,48,2,7,1515,F,9
play_greedily,3,49,2,7,1510,L,9
play_greedily,3,50,2,6,1500,F,9
play_greedily,3,51,2,5,1490,F,9
play_greedily,3,52,2,4,1480,F,9
play_greedily,3,53,2,4,1475,R,9
play_greedily,3,54,3,4,1465,F,9
play_greedily,3,55,4,4,1455,F,9
play_greedily,3,56,5,4,1445,F,9
