treatment,replicate,step,creature_x,creature_y,score
play_greedily,0,0,4,4,1000
play_greedily,0,1,4,3,1140
play_greedily,0,2,4,2,1130
play_greedily,0,3,4,2,1125
play_greedily,0,4,3,2,1215
play_greedily,0,5,2,2,1255
play_greedily,0,6,2,2,1250
play_greedily,0,7,2,3,1290
play_greedily,0,8,2,3,1285
play_greedily,0,9,2,3,1280
play_greedily,0,10,2,2,1270
play_greedily,0,11,2,1,1260
play_greedily,0,12,2,1,1255
play_greedily,0,13,3,1,1245
play_greedily,0,14,4,1,1235
play_greedily,0,15,5,1,1225
play_greedily,0,16,6,1,1265
play_greedily,0,17,6,1,1260
play_greedily,0,18,6,2,1350
play_greedily,0,19,6,3,1340
play_greedily,0,20,6,4,1380
play_greedily,0,21,6,5,1470
play_greedily,0,22,6,5,1465
play_greedily,0,23,7,5,1505
play_greedily,0,24,7,5,1500
play_greedily,0,25,7,4,1540
play_greedily,0,26,7,4,1535
play_greedily,0,27,7,4,1530
play_greedily,0,28,7,5,1520
play_greedily,0,29,7,6,1510
play_greedily,0,30,7,6,1505
play_greedily,0,31,6,6,1495
play_greedily,0,32,5,6,1535
play_greedily,0,33,5,6,1530
play_greedily,0,34,5,7,1620
play_greedily,0,35,5,7,1615
play_greedily,0,36,4,7,1605
play_greedily,0,37,4,7,1600
play_greedily,0,38,4,8,1690
play_greedily,0,39,4,8,1685
play_greedily,0,40,3,8,1675
play_greedily,0,41,3,8,1670
play_greedily,0,42,3,7,1710
play_greedily,0,43,3,7,1705
play_greedily,0,44,4,7,1695
play_greedily,0,45,4,7,1690
play_greedily,0,46,4,6,1730
play_greedily,0,47,4,5,1770
play_greedily,0,48,4,4,1760
play_greedily,0,49,4,3,1750
play_greedily,0,50,4,2,1740
play_greedily,0,51,4,1,1730
play_greedily,0,52,4,0,1720
play_greedily,0,53,4,0,1715
play_greedily,0,54,5,0,1755
play_greedily,0,55,6,0,1795
play_greedily,0,56,7,0,1835
play_greedily,0,57,8,0,1925
play_greedily,0,58,8,0,1920
play_greedily,0,59,8,0,1915
play_greedily,0,60,7,0,1905
play_greedily,0,61,6,0,1895
play_greedily,0,62,5,0,1885
play_greedily,0,63,4,0,1875
play_greedily,0,64,3,0,1865
play_greedily,0,65,3,0,1860
play_greedily,0,66,3,0,1855
play_greedily,0,67,4,0,1845
play_greedily,0,68,5,0,1835
play_greedily,0,69,6,0,1825
play_greedily,0,70,7,0,1815
play_greedily,0,71,8,0,1805
play_greedily,0,72,8,0,1800
play_greedily,0,73,8,0,1795
play_greedily,0,74,7,0,1785
play_greedily,0,75,6,0,1775
play_greedily,0,76,5,0,1765
play_greedily,0,77,4,0,1755
play_greedily,0,78,3,0,1745
play_greedily,0,79,3,0,1740
play_greedily,0,80,3,0,1735
play_greedily,0,81,4,0,1725
play_greedily,0,82,5,0,1715
play_greedily,0,83,6,0,1705
play_greedily,0,84,7,0,1695
play_greedily,0,85,8,0,1685
play_greedily,0,86,8,0,1680
play_greedily,0,87,8,0,1675
play_greedily,0,88,7,0,1665
play_greedily,0,89,6,0,1655
play_greedily,0,90,5,0,1645
play_greedily,0,91,4,0,1635
play_greedily,0,92,3,0,1625
play_greedily,0,93,3,0,1620
play_greedily,0,94,3,0,1615
play_greedily,0,95,4,0,1605
play_greedily,0,96,5,0,1595
play_greedily,0,97,6,0,1585
play_greedily,0,98,7,0,1575
play_greedily,0,99,8,0,1565
play_greedily,0,100,8,0,1560
play_greedily,1,0,4,4,1000
play_greedily,1,1,4,3,1040
play_greedily,1,2,4,2,1080
play_greedily,1,3,4,1,1070
play_greedily,1,4,4,1,1065
play_greedily,1,5,5,1,1105
play_greedily,1,6,5,1,1100
play_greedily,1,7,5,1,1095
play_greedily,1,8,4,1,1085
play_greedily,1,9,3,1,1125
play_greedily,1,10,3,1,1120
play_greedily,1,11,3,0,1160
play_greedily,1,12,3,0,1155
play_greedily,1,13,2,0,1195
play_greedily,1,14,2,0,1190
play_greedily,1,15,2,0,1185
play_greedily,1,16,3,0,1175
play_greedily,1,17,3,0,1170
play_greedily,1,18,3,1,1160
play_greedily,1,19,3,2,1150
play_greedily,1,20,3,2,1145
play_greedily,1,21,2,2,1235
play_greedily,1,22,2,2,1230
play_greedily,1,23,2,1,1220
play_greedily,1,24,2,0,1210
play_greedily,1,25,2,0,1205
play_greedily,1,26,3,0,1195
play_greedily,1,27,3,0,1190
play_greedily,1,28,3,1,1180
play_greedily,1,29,3,2,1170
play_greedily,1,30,3,3,1160
play_greedily,1,31,3,3,1155
play_greedily,1,32,2,3,1145
play_greedily,1,33,1,3,1135
play_greedily,1,34,1,3,1130
play_greedily,1,35,1,3,1125
play_greedily,1,36,2,3,1115
play_greedily,1,37,3,3,1105
