"STATION","NAME","DATE","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-01","0.01",,"0.0","0.0",,"45","38",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-02","0.14",,"0.0","0.0",,"49","44",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-03","0.63",,"0.0","0.0",,"58","49",,"    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-04","0.17",,"0.0","0.0",,"53","19",,"    1",,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-05","0.00",,"0.0","0.0",,"25","20",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-06","0.00",,"0.0","0.0",,"25","21",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-07","0.01",,"0.3","0.0",,"27","12",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-08","0.00",,"0.0","0.0",,"30","10",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-09","0.00",,"0.0","0.0",,"45","30",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-10","0.18",,"0.0","0.0",,"54","25",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-11","0.00",,"0.0","0.0",,"25","14",,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-12","0.00",,"0.0","0.0",,"41","22",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-13","1.11",,"0.0","0.0",,"59","37",,"    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-01-14","0.00",,"0.0","0.0",,"50","21",,,,"    1",,,,,,,,,,,,"    1",,"    1",,,,
